35;43.03
62;42.14
89;39.00
115;41.26
143;42.96
172;42.57
199;42.46
227;42.46
254;42.46
282;43.34
310;42.62
337;42.62
365;42.62
393;42.60
421;42.98
449;42.98
477;42.10
504;42.94
532;43.05
560;43.46
587;38.76
615;42.58
643;42.09
670;43.03
698;42.55
727;42.03
754;42.58
782;41.62
809;42.03
837;42.51
865;42.15
892;43.03
920;42.14
948;42.57
975;42.55
1004;42.15
1033;42.51
1061;42.93
1090;42.62
1119;42.14
1147;43.05
1177;42.93
1206;42.10
1234;42.03
1263;42.98
1292;43.03
1320;42.55
1350;42.39
1379;41.91
1408;42.26
1436;41.59
1465;42.24
1494;41.95
1522;32.17
1551;40.90
1580;39.58
1608;39.58
1637;39.53
1666;39.45
1694;38.88
1723;37.87
1752;37.63
1780;36.92
1808;35.33
1837;35.43
1865;34.20
1894;33.79
1922;32.88
1950;31.52
1978;30.97
2007;29.55
2034;28.91
2062;27.53
2091;26.63
2118;25.12
2146;24.35
2173;22.72
2201;21.47
2229;20.58
2256;19.23
2283;17.87
2311;16.02
2338;14.53
2365;13.05
2393;11.58
2419;9.96
2445;9.00
2470;6.62
2496;5.51
2522;3.55
2547;9
⸮257&r6
2597;2.35
2623;3.07
2649;2.83
2674;3.53
2700;3.77
2725;3.91
2751;3.72
2776;4.25
2801;4.37
2827;4.01
2852;4.06
2878;4.08
2904;4.08
2929;4.42
2955;4.29
2980;4.08
3006;3.50
3031;3.84
3056;3.24
3082;3.36
3107;3.12
3133;2.40
3159;2.37
3183;2.18
3209;2.18
3234;2.30
3260;2.42
3286;2.30
3310;2.47
3336;2.47
3361;2.42
3387;2.35
3412;2.13
3437;2.13
3463;2.13
3488;2.18
3514;2.18
3539;2.01
3564;2.13
3590;2.11
3615;2.11
3641;2.11
3666;2.11
3691;2.11
3717;2.13
3742;2.11
3768;2.11
3792;2.11
3818;2.11
3844;2.11
3869;2.11
3895;2.11
3919;2.11
3945;2.11
3971;2.11
3996;2.11
4022;2.01
4046;2.11
4072;2.13
4098;2.11
4123;2.13